type_of_injury,id,ammunition,killed_by,killing_info_id
gunfire,338,live ammunition,Israeli security forces,0.0
gunfire,339,missile,Israeli security forces,5.0
gunfire,340,missile,Israeli security forces,5.0
gunfire,341,missile,Israeli security forces,5.0
gunfire,342,missile,Israeli security forces,5.0
gunfire,343,missile,Israeli security forces,5.0
gunfire,344,missile,Israeli security forces,5.0
gunfire,345,missile,Israeli security forces,5.0
gunfire,346,missile,Israeli security forces,5.0
gunfire,347,missile,Israeli security forces,5.0
gunfire,348,missile,Israeli security forces,5.0
shelling,349,bomb,Israeli security forces,348.0
shelling,350,bomb,Israeli security forces,348.0
shelling,351,bomb,Israeli security forces,348.0
shelling,352,bomb,Israeli security forces,348.0
shelling,353,bomb,Israeli security forces,348.0
shelling,354,bomb,Israeli security forces,348.0
shelling,355,bomb,Israeli security forces,348.0
gunfire,356,missile,Israeli security forces,5.0
gunfire,357,missile,Israeli security forces,5.0
gunfire,358,missile,Israeli security forces,5.0
gunfire,359,,Israeli security forces,
gunfire,360,missile,Israeli security forces,5.0
gunfire,361,shell,Israeli security forces,360.0
gunfire,362,missile,Israeli security forces,5.0
gunfire,363,missile,Israeli security forces,5.0
gunfire,364,missile,Israeli security forces,5.0
gunfire,365,missile,Israeli security forces,5.0
gunfire,366,missile,Israeli security forces,5.0
gunfire,367,shell,Israeli security forces,360.0
gunfire,368,shell,Israeli security forces,360.0
shelling,369,bomb,Israeli security forces,348.0
shelling,370,bomb,Israeli security forces,348.0
gunfire,371,missile,Israeli security forces,5.0
gunfire,372,live ammunition,Israeli security forces,0.0
gunfire,373,live ammunition,Israeli security forces,0.0
gunfire,374,live ammunition,Israeli security forces,0.0
gunfire,375,live ammunition,Israeli security forces,0.0
gunfire,376,live ammunition,Israeli security forces,0.0
gunfire,377,live ammunition,Israeli security forces,0.0
gunfire,378,live ammunition,Israeli security forces,0.0
gunfire,379,live ammunition,Israeli security forces,0.0
gunfire,380,live ammunition,Israeli security forces,0.0
stabbing,381,knife,Israeli civilians,380.0
gunfire,382,live ammunition,Israeli security forces,0.0
gunfire,383,live ammunition,Israeli security forces,0.0
gunfire,384,live ammunition,Israeli security forces,0.0
gunfire,385,live ammunition,Israeli security forces,0.0
gunfire,386,live ammunition,Israeli security forces,0.0
gunfire,387,live ammunition,Israeli security forces,0.0
gunfire,388,live ammunition,Israeli security forces,0.0
gunfire,389,live ammunition,Israeli security forces,0.0
gunfire,390,live ammunition,Israeli security forces,0.0
gunfire,391,live ammunition,Israeli security forces,0.0
gunfire,392,live ammunition,Israeli security forces,0.0
gunfire,393,live ammunition,Israeli security forces,0.0
gunfire,394,live ammunition,Israeli security forces,0.0
gunfire,395,live ammunition,Israeli security forces,0.0
gunfire,396,live ammunition,Israeli security forces,0.0
gunfire,397,live ammunition,Israeli security forces,0.0
gunfire,398,live ammunition,Israeli security forces,0.0
gunfire,399,live ammunition,Israeli civilians,28.0
being bludgeoned with an axe,400,,Palestinian civilians,
